Name,Country,Role,Age,Height (cm),International Caps,International Goals
Pedro GALLESE,Peru,Goalkeeper,28,189.0 cm,42,0
Alberto RODRIGUEZ,Peru,Defender,34,183.0 cm,75,0
Aldo CORZO,Peru,Defender,29,173.0 cm,24,0
Anderson SANTAMARIA,Peru,Defender,27,185.0 cm,8,0
Miguel ARAUJO,Peru,Defender,24,178.0 cm,8,0
Miguel TRAUCO,Peru,Defender,26,175.0 cm,29,0
Paolo HURTADO,Peru,Midfielder,28,175.0 cm,34,3
Christian CUEVA,Peru,Midfielder,27,169.0 cm,48,8
Paolo GUERRERO,Peru,Forward,35,185.0 cm,92,36
Jefferson FARFAN,Peru,Forward,34,178.0 cm,86,25
Raul RUIDIAZ,Peru,Forward,28,167.0 cm,32,4
Carlos CACEDA,Peru,Goalkeeper,27,185.0 cm,6,0
Renato TAPIA,Peru,Midfielder,23,185.0 cm,33,3
Andy POLO,Peru,Midfielder,24,170.0 cm,17,1
Christian RAMOS,Peru,Defender,30,185.0 cm,73,3
Wilder CARTAGENA,Peru,Midfielder,24,179.0 cm,4,0
Luis ADVINCULA,Peru,Defender,28,178.0 cm,68,0
Andre CARRILLO,Peru,Forward,27,181.0 cm,49,6
Yoshimar YOTUN,Peru,Midfielder,28,173.0 cm,76,2
Edison FLORES,Peru,Forward,24,170.0 cm,32,9
Jose CARVALLO,Peru,Goalkeeper,32,183.0 cm,6,0
Nilson LOYOLA,Peru,Defender,24,175.0 cm,3,0
Pedro AQUINO,Peru,Midfielder,23,175.0 cm,16,0
Yassine BOUNOU,Morocco,Goalkeeper,27,192.0 cm,34,0
Achraf HAKIMI,Morocco,Defender,20,179.0 cm,15,1
Hamza MENDYL,Morocco,Defender,21,179.0 cm,16,0
MANUEL DA COSTA,Morocco,Defender,32,187.0 cm,30,2
Mehdi BENATIA,Morocco,Defender,31,188.0 cm,62,4
Romain SAISS,Morocco,Defender,28,190.0 cm,28,2
Hakim ZIYECH,Morocco,Midfielder,25,180.0 cm,21,10
Karim EL AHMADI,Morocco,Midfielder,33,179.0 cm,55,1
Ayoub EL KAABI,Morocco,Forward,25,182.0 cm,5,2
Younes BELHANDA,Morocco,Midfielder,28,174.0 cm,53,5
Faycal FAJR,Morocco,Midfielder,30,178.0 cm,26,2
Monir EL KAJOUI,Morocco,Goalkeeper,29,190.0 cm,36,0
Khalid BOUTAIB,Morocco,Forward,31,190.0 cm,22,10
Mbark BOUSSOUFA,Morocco,Midfielder,34,166.0 cm,64,7
Youssef AIT BENNASSER,Morocco,Midfielder,22,184.0 cm,14,0
Noureddine AMRABAT,Morocco,Midfielder,31,179.0 cm,48,4
Nabil DIRAR,Morocco,Defender,32,187.0 cm,40,5
Amine HARIT,Morocco,Midfielder,21,179.0 cm,8,0
Youssef EN NESYRI,Morocco,Forward,21,188.0 cm,17,3
Aziz BOUHADDOUZ,Morocco,Forward,31,188.0 cm,17,3
Sofyan AMRABAT,Morocco,Midfielder,22,173.0 cm,7,0
Ahmed TAGNAOUTI,Morocco,Goalkeeper,22,182.0 cm,5,0
Mehdi CARCELA,Morocco,Midfielder,29,176.0 cm,22,1
Essam EL HADARY,Egypt,Goalkeeper,45,188.0 cm,159,0
Ali GABR,Egypt,Defender,30,193.0 cm,25,1
AHMED ELMOHAMADY,Egypt,Defender,31,183.0 cm,84,2
OMAR GABER,Egypt,Midfielder,26,174.0 cm,24,0
SAM MORSY,Egypt,Midfielder,27,173.0 cm,6,0
AHMED HEGAZY,Egypt,Defender,27,194.0 cm,48,1
AHMED FATHI,Egypt,Defender,34,176.0 cm,131,3
Tarek HAMED,Egypt,Midfielder,30,169.0 cm,26,0
Marwan MOHSEN,Egypt,Forward,29,185.0 cm,25,4
MOHAMED SALAH,Egypt,Forward,26,175.0 cm,58,37
MAHMOUD KAHRABA,Egypt,Forward,24,182.0 cm,25,3
Ayman ASHRAF,Egypt,Defender,27,176.0 cm,3,1
MOHAMED ABDEL SHAFI,Egypt,Defender,33,175.0 cm,55,2
Ramadan SOBHI,Egypt,Forward,21,183.0 cm,28,1
MAHMOUD HAMDY,Egypt,Defender,23,173.0 cm,1,0
Sherif EKRAMY,Egypt,Goalkeeper,35,193.0 cm,23,0
Mohamed EL NENY,Egypt,Midfielder,26,180.0 cm,64,5
Mahmoud ABDELRAZEK,Egypt,Forward,32,183.0 cm,32,2
ABDALLA SAID,Egypt,Midfielder,33,176.0 cm,41,6
SAMIR SAAD,Egypt,Defender,29,185.0 cm,11,0
TREZEGET,Egypt,Midfielder,24,179.0 cm,29,2
Amr WARDA,Egypt,Forward,25,176.0 cm,20,0
MOHAMED ELSHENAWY,Egypt,Goalkeeper,30,191.0 cm,5,0
Ali BEIRANVAND,IR Iran,Goalkeeper,26,192.0 cm,25,0
Mehdi TORABI,IR Iran,Midfielder,24,185.0 cm,16,4
Ehsan HAJI SAFI,IR Iran,Defender,28,176.0 cm,97,6
Roozbeh CHESHMI,IR Iran,Defender,25,192.0 cm,10,1
Milad MOHAMMADI,IR Iran,Defender,25,178.0 cm,21,0
Saeid EZATOLAHI,IR Iran,Midfielder,22,190.0 cm,27,2
Masoud SHOJAEI,IR Iran,Midfielder,34,185.0 cm,75,8
Morteza POURALIGANJI,IR Iran,Defender,26,185.0 cm,30,2
Omid EBRAHIMI,IR Iran,Midfielder,31,179.0 cm,32,0
Karim ANSARIFARD,IR Iran,Forward,28,187.0 cm,67,19
Vahid AMIRI,IR Iran,Midfielder,30,185.0 cm,39,1
Mohammad MAZAHERI,IR Iran,Goalkeeper,29,193.0 cm,3,0
Mohammad Reza KHANZADEH,IR Iran,Defender,27,186.0 cm,8,1
Saman GHODDOS,IR Iran,Forward,25,177.0 cm,11,1
Pejman MONTAZERI,IR Iran,Defender,35,186.0 cm,46,1
Reza GHOOCHANNEJAD,IR Iran,Forward,31,180.0 cm,43,17
Mehdi TAREMI,IR Iran,Forward,26,187.0 cm,29,11
Alireza JAHAN BAKHSH,IR Iran,Forward,25,180.0 cm,41,4
Majid HOSSEINI,IR Iran,Defender,22,183.0 cm,4,0
Sardar AZMOUN,IR Iran,Forward,24,185.0 cm,35,23
Ashkan DEJAGAH,IR Iran,Forward,32,181.0 cm,46,9
Amir ABEDZADEH,IR Iran,Goalkeeper,25,186.0 cm,1,0
Ramin REZAEIAN,IR Iran,Defender,28,185.0 cm,29,2
Jose CORONA,Mexico,Goalkeeper,37,184.0 cm,54,0
Hugo AYALA,Mexico,Defender,31,183.0 cm,45,1
Carlos SALCEDO,Mexico,Defender,25,188.0 cm,25,0
Rafael MARQUEZ,Mexico,Defender,39,184.0 cm,148,15
Erick GUTIERREZ,Mexico,Midfielder,23,176.0 cm,8,0
Jonathan DOS SANTOS,Mexico,Midfielder,28,172.0 cm,38,0
Miguel LAYUN,Mexico,Midfielder,30,179.0 cm,68,6
Marco FABIAN,Mexico,Forward,29,170.0 cm,40,9
Raul JIMENEZ,Mexico,Forward,27,188.0 cm,65,14
Giovani DOS SANTOS,Mexico,Midfielder,29,175.0 cm,106,19
Carlos VELA,Mexico,Forward,29,177.0 cm,72,19
Alfredo TALAVERA,Mexico,Goalkeeper,36,188.0 cm,28,0
Guillermo OCHOA,Mexico,Goalkeeper,33,183.0 cm,98,0
Javier HERNANDEZ,Mexico,Forward,30,175.0 cm,106,50
Hector MORENO,Mexico,Defender,30,184.0 cm,95,3
Hector HERRERA,Mexico,Defender,28,178.0 cm,70,5
Jesus CORONA,Mexico,Midfielder,26,174.0 cm,38,7
Andres GUARDADO,Mexico,Midfielder,32,169.0 cm,151,25
Oribe PERALTA,Mexico,Forward,35,179.0 cm,67,26
Javier AQUINO,Mexico,Midfielder,28,168.0 cm,53,0
Edson ALVAREZ,Mexico,Defender,21,185.0 cm,17,1
Hirving LOZANO,Mexico,Forward,23,175.0 cm,32,8
Jesus GALLARDO,Mexico,Midfielder,24,176.0 cm,27,0
ABDULLAH ALMUAIOUF,Saudi Arabia,Goalkeeper,31,178.0 cm,9,0
MANSOUR ALHARBI,Saudi Arabia,Defender,31,170.0 cm,39,1
OSAMA HAWSAWI,Saudi Arabia,Defender,34,185.0 cm,138,7
ALI ALBULAYHI,Saudi Arabia,Defender,29,182.0 cm,5,0
OMAR OTHMAN,Saudi Arabia,Defender,33,185.0 cm,41,3
MOHAMMED ALBURAYK,Saudi Arabia,Defender,26,173.0 cm,12,0
SALMAN AL FARAJ,Saudi Arabia,Midfielder,29,179.0 cm,42,3
YAHIA ALSHEHRI,Saudi Arabia,Midfielder,28,165.0 cm,58,7
HATAN BAHBRI,Saudi Arabia,Midfielder,26,170.0 cm,8,0
MOHAMMED AL SAHLAWI,Saudi Arabia,Forward,32,180.0 cm,42,28
ABDULMALEK AL KHAIBRI,Saudi Arabia,Midfielder,32,175.0 cm,33,0
MOHAMED KANNO,Saudi Arabia,Midfielder,24,192.0 cm,7,1
YASIR AL SHAHRANI,Saudi Arabia,Defender,26,170.0 cm,38,0
ABDULLAH OTAYF,Saudi Arabia,Midfielder,26,177.0 cm,16,1
ABDULLAH ALKHAIBARI,Saudi Arabia,Midfielder,22,175.0 cm,5,0
HUSSAIN AL MOQAHWI,Saudi Arabia,Midfielder,30,174.0 cm,18,1
TAISEER AL JASSAM,Saudi Arabia,Midfielder,34,169.0 cm,134,19
SALEM AL DAWSARI,Saudi Arabia,Midfielder,27,174.0 cm,34,5
FAHAD AL MUWALLAD,Saudi Arabia,Forward,24,168.0 cm,48,10
MUHANNAD ABU RADIYAH,Saudi Arabia,Forward,32,178.0 cm,19,4
YASSER AL MOSAILEM,Saudi Arabia,Goalkeeper,34,184.0 cm,33,0
MOHAMMED ALOWAIS,Saudi Arabia,Goalkeeper,27,187.0 cm,7,0
MOTAZ HAWSAWI,Saudi Arabia,Defender,26,179.0 cm,17,0
Robin OLSEN,Sweden,Goalkeeper,29,198.0 cm,23,0
Mikael LUSTIG,Sweden,Defender,32,189.0 cm,70,6
Victor LINDELOF,Sweden,Defender,24,187.0 cm,25,1
Andreas GRANQVIST,Sweden,Defender,33,192.0 cm,77,8
Martin OLSSON,Sweden,Defender,30,178.0 cm,45,5
Ludwig AUGUSTINSSON,Sweden,Defender,24,181.0 cm,20,1
Sebastian LARSSON,Sweden,Midfielder,33,178.0 cm,107,6
Albin EKDAL,Sweden,Midfielder,29,186.0 cm,39,0
Marcus BERG,Sweden,Forward,32,184.0 cm,62,18
Emil FORSBERG,Sweden,Midfielder,27,179.0 cm,41,7
John GUIDETTI,Sweden,Forward,26,185.0 cm,22,1
Karl-Johan JOHNSSON,Sweden,Goalkeeper,28,187.0 cm,5,0
Gustav SVENSSON,Sweden,Midfielder,31,183.0 cm,16,0
Filip HELANDER,Sweden,Defender,25,192.0 cm,4,0
Oscar HILJEMARK,Sweden,Midfielder,26,184.0 cm,24,2
Emil KRAFTH,Sweden,Defender,24,184.0 cm,15,0
Viktor CLAESSON,Sweden,Midfielder,27,183.0 cm,27,3
Pontus JANSSON,Sweden,Defender,27,194.0 cm,17,0
Marcus ROHDEN,Sweden,Midfielder,27,182.0 cm,12,1
Ola TOIVONEN,Sweden,Forward,32,191.0 cm,64,14
Jimmy DURMAZ,Sweden,Midfielder,29,180.0 cm,46,3
Isaac THELIN,Sweden,Forward,26,189.0 cm,24,2
Kristoffer NORDFELDT,Sweden,Goalkeeper,29,190.0 cm,8,0
Hugo LLORIS,France,Goalkeeper,32,188.0 cm,106,0
Benjamin PAVARD,France,Defender,22,186.0 cm,12,1
Presnel KIMPEMBE,France,Defender,23,183.0 cm,3,0
Raphael VARANE,France,Defender,25,191.0 cm,49,3
Samuel UMTITI,France,Defender,25,182.0 cm,25,3
Paul POGBA,France,Midfielder,25,191.0 cm,60,10
Antoine GRIEZMANN,France,Forward,27,175.0 cm,61,24
Thomas LEMAR,France,Forward,23,170.0 cm,13,3
Olivier GIROUD,France,Forward,32,192.0 cm,81,31
Kylian MBAPPE,France,Forward,20,178.0 cm,22,8
Ousmane DEMBELE,France,Forward,21,178.0 cm,16,2
Corentin TOLISSO,France,Midfielder,24,181.0 cm,14,0
N Golo KANTE,France,Midfielder,27,169.0 cm,31,1
Blaise MATUIDI,France,Midfielder,31,180.0 cm,72,9
Steven NZONZI,France,Midfielder,30,197.0 cm,9,0
Steve MANDANDA,France,Goalkeeper,33,185.0 cm,28,0
Adil RAMI,France,Defender,33,190.0 cm,35,1
Nabil FEKIR,France,Forward,25,173.0 cm,18,2
Djibril SIDIBE,France,Defender,26,182.0 cm,18,1
Florian THAUVIN,France,Forward,25,170.0 cm,5,0
Lucas HERNANDEZ,France,Defender,22,183.0 cm,12,0
Benjamin MENDY,France,Defender,24,185.0 cm,8,0
Alphonse AREOLA,France,Goalkeeper,25,195.0 cm,0,0
Abdoulaye DIALLO,Senegal,Goalkeeper,26,191.0 cm,16,0
Adama MBENGUE,Senegal,Defender,25,180.0 cm,3,0
Kalidou KOULIBALY,Senegal,Defender,27,195.0 cm,29,1
Kara MBODJI,Senegal,Defender,29,192.0 cm,43,5
Idrissa GUEYE,Senegal,Midfielder,29,174.0 cm,58,1
Salif SANÉ,Senegal,Midfielder,28,196.0 cm,21,0
Moussa SOW,Senegal,Forward,32,180.0 cm,46,19
Cheikhou KOUYATE,Senegal,Midfielder,29,189.0 cm,51,3
Mame DIOUF,Senegal,Forward,31,185.0 cm,46,10
Sadio MANE,Senegal,Forward,26,175.0 cm,55,15
Cheikh NDOYE,Senegal,Midfielder,32,190.0 cm,29,3
Youssouf SABALY,Senegal,Defender,25,174.0 cm,9,0
Alfred NDIAYE,Senegal,Midfielder,28,186.0 cm,18,1
Moussa KONATE,Senegal,Forward,25,183.0 cm,28,9
Diafra SAKHO,Senegal,Forward,29,184.0 cm,12,3
Khadim NDIAYE,Senegal,Goalkeeper,33,185.0 cm,45,0
Papa Alioune NDIAYE,Senegal,Midfielder,28,179.0 cm,17,1
Ismaila SARR,Senegal,Forward,20,175.0 cm,16,3
Mbaye NIANG,Senegal,Forward,24,184.0 cm,11,1
Keita BALDE,Senegal,Forward,23,181.0 cm,19,3
Lamine GASSAMA,Senegal,Defender,29,181.0 cm,40,0
Moussa WAGUE,Senegal,Defender,20,177.0 cm,10,1
Alfred GOMIS,Senegal,Goalkeeper,25,196.0 cm,5,0
Dominik LIVAKOVIC,Croatia,Goalkeeper,24,188.0 cm,1,0
Sime VRSALJKO,Croatia,Defender,27,181.0 cm,41,0
Ivan STRINIC,Croatia,Defender,31,186.0 cm,49,0
Ivan PERISIC,Croatia,Forward,29,186.0 cm,73,21
Vedran CORLUKA,Croatia,Defender,32,192.0 cm,103,4
Dejan LOVREN,Croatia,Defender,29,188.0 cm,46,2
Ivan RAKITIC,Croatia,Midfielder,30,184.0 cm,101,15
Mateo KOVACIC,Croatia,Midfielder,24,178.0 cm,46,1
Andrej KRAMARIC,Croatia,Forward,27,177.0 cm,38,10
Luka MODRIC,Croatia,Midfielder,33,172.0 cm,118,14
